  likeliklyhood    time   words   iteration
      -78222.22    8.82      20         325
      -78224.53    8.91      20         326
      -78220.25    8.81      21         327
      -78193.43    8.90      22         328
      -78203.86    8.94      20         329
      -78206.77    8.84      25         330
      -78204.75    8.89      25         331
      -78219.39    8.85      22         332
      -78240.42    8.84      24         333
      -78232.25    8.89      24         334
      -78236.70    9.03      22         335
      -78254.76    8.84      23         336
      -78269.26    8.88      24         337
      -78257.35    8.85      22         338
      -78268.84    8.86      25         339
      -78263.01    8.87      25         340
      -78264.28    8.91      26         341
      -78269.20    8.85      30         342
      -78261.37    9.06      30         343
      -78249.88    8.81      31         344
      -78268.83    8.79      29         345
      -78222.77    8.97      26         346
      -78228.00    9.13      28         347
      -78236.73    8.84      28         348
      -78240.10    9.23      29         349
      -78244.29    9.32      28         350
      -78233.67    8.90      29         351
      -78224.86    8.82      31         352
      -78240.00    8.95      31         353
      -78248.68    8.93      27         354
      -78244.28    8.85      27         355
      -78264.98    8.82      31         356
      -78266.74    8.91      31         357
      -78307.82    8.89      30         358
      -78282.03    8.88      30         359
      -78266.43    8.82      32         360
      -78242.89    8.92      28         361
      -78259.89    8.94      25         362
      -78252.81    9.37      27         363
      -78227.87    8.88      26         364
      -78274.78    8.89      25         365
      -78233.56    8.82      24         366
      -78253.04    8.79      25         367
      -78321.86    8.81      19         368
      -78291.64    8.91      20         369
      -78288.38    8.85      20         370
      -78310.65    8.86      22         371
      -78320.87    8.80      21         372
      -78302.85    9.03      23         373
      -78298.42    9.04      23         374
      -78310.53    8.76      25         375
      -78279.43    9.24      20         376
      -78265.92    8.84      22         377
      -78249.10    8.91      24         378
      -78229.26    8.93      24         379
      -78203.30    8.82      23         380
      -78198.22    8.86      24         381
      -78197.90    8.82      22         382
      -78156.31    8.86      22         383
      -78147.19    8.88      23         384
      -78167.77    8.83      24         385
      -78163.33    8.78      24         386
      -78148.77    8.87      20         387
      -78122.42    8.79      22         388
      -78150.51    8.92      20         389
      -78127.53    8.88      19         390
      -78126.33    8.78      19         391
      -78124.83    8.75      24         392
      -78105.93    8.77      26         393
      -78079.40    8.86      20         394
      -78107.31    8.77      18         395
      -78089.42    8.85      21         396
      -78090.85    8.95      18         397
      -78091.99    8.91      19         398
